   0.0 TEL | Telepresence 0.105 launched at Mon May 25 16:09:42 2020
  27.7  47 | 2020-05-25T08:10:10+0000 [DNSDatagramProtocol (UDP)] DNSDatagramProtocol starting on 37014
  27.7  47 | 2020-05-25T08:10:10+0000 [DNSDatagramProtocol (UDP)] Starting protocol <twisted.names.dns.DNSDatagramProtocol object at 0x7f6a03868198>
  27.7  47 | 2020-05-25T08:10:10+0000 [stdout#info] 12 query: b'b._dns-sd._udp.0.99.168.192.in-addr.arpa'
  27.7  47 | 2020-05-25T08:10:10+0000 [DNSDatagramProtocol (UDP)] DNSDatagramProtocol starting on 46033
  27.7  47 | 2020-05-25T08:10:10+0000 [DNSDatagramProtocol (UDP)] Starting protocol <twisted.names.dns.DNSDatagramProtocol object at 0x7f6a038683c8>
  27.7  47 | 2020-05-25T08:10:10+0000 [stdout#info] 12 query: b'db._dns-sd._udp.0.99.168.192.in-addr.arpa'
  27.7  47 | 2020-05-25T08:10:10+0000 [DNSDatagramProtocol (UDP)] DNSDatagramProtocol starting on 42726
  27.7  47 | 2020-05-25T08:10:10+0000 [DNSDatagramProtocol (UDP)] Starting protocol <twisted.names.dns.DNSDatagramProtocol object at 0x7f6a038685f8>
  27.7  47 | 2020-05-25T08:10:10+0000 [-] (UDP Port 13005 Closed)
  27.7  47 | 2020-05-25T08:10:10+0000 [-] Stopping protocol <twisted.names.dns.DNSDatagramProtocol object at 0x7f6a038d6208>
  27.7  47 | 2020-05-25T08:10:10+0000 [-] (UDP Port 27882 Closed)
  27.7  47 | 2020-05-25T08:10:10+0000 [-] Stopping protocol <twisted.names.dns.DNSDatagramProtocol object at 0x7f6a038d6898>
  27.7  47 | 2020-05-25T08:10:10+0000 [-] (UDP Port 29970 Closed)
  27.7  47 | 2020-05-25T08:10:10+0000 [-] Stopping protocol <twisted.names.dns.DNSDatagramProtocol object at 0x7f6a038bce80>
  27.7  47 | 2020-05-25T08:10:10+0000 [-] (UDP Port 46033 Closed)
  27.7  47 | 2020-05-25T08:10:10+0000 [-] Stopping protocol <twisted.names.dns.DNSDatagramProtocol object at 0x7f6a038683c8>
  27.7  47 | 2020-05-25T08:10:10+0000 [-] (UDP Port 22084 Closed)
  27.7  47 | 2020-05-25T08:10:10+0000 [-] Stopping protocol <twisted.names.dns.DNSDatagramProtocol object at 0x7f6a038d6438>
  27.7  47 | 2020-05-25T08:10:10+0000 [-] (UDP Port 24393 Closed)
  27.7  47 | 2020-05-25T08:10:10+0000 [-] Stopping protocol <twisted.names.dns.DNSDatagramProtocol object at 0x7f6a038d6ac8>
  27.7  47 | 2020-05-25T08:10:10+0000 [-] (UDP Port 63923 Closed)
  27.7  47 | 2020-05-25T08:10:10+0000 [-] Stopping protocol <twisted.names.dns.DNSDatagramProtocol object at 0x7f6a038d6f28>
  27.7  47 | 2020-05-25T08:10:10+0000 [-] (UDP Port 37014 Closed)
  27.7  47 | 2020-05-25T08:10:10+0000 [-] Stopping protocol <twisted.names.dns.DNSDatagramProtocol object at 0x7f6a03868198>
  27.7  47 | 2020-05-25T08:10:10+0000 [-] (UDP Port 42726 Closed)
  27.7  47 | 2020-05-25T08:10:10+0000 [-] Stopping protocol <twisted.names.dns.DNSDatagramProtocol object at 0x7f6a038685f8>
  27.7  47 | 2020-05-25T08:10:10+0000 [stdout#info] 6 query: b'local'
  27.7  47 | 2020-05-25T08:10:10+0000 [DNSDatagramProtocol (UDP)] DNSDatagramProtocol starting on 12416
  27.7  47 | 2020-05-25T08:10:10+0000 [DNSDatagramProtocol (UDP)] Starting protocol <twisted.names.dns.DNSDatagramProtocol object at 0x7f6a038d6f98>
  27.9  47 | 2020-05-25T08:10:10+0000 [-] (UDP Port 8577 Closed)
  27.9  47 | 2020-05-25T08:10:10+0000 [-] Stopping protocol <twisted.names.dns.DNSDatagramProtocol object at 0x7f6a038d6668>
  27.9  47 | 2020-05-25T08:10:10+0000 [-] (UDP Port 12416 Closed)
  27.9  47 | 2020-05-25T08:10:10+0000 [-] Stopping protocol <twisted.names.dns.DNSDatagramProtocol object at 0x7f6a038d6f98>
  28.1  47 | 2020-05-25T08:10:10+0000 [-] (UDP Port 50831 Closed)
  28.1  47 | 2020-05-25T08:10:10+0000 [-] Stopping protocol <twisted.names.dns.DNSDatagramProtocol object at 0x7f6a038bca90>
  28.1  47 | 2020-05-25T08:10:10+0000 [-] (UDP Port 29754 Closed)
  28.1  47 | 2020-05-25T08:10:10+0000 [-] Stopping protocol <twisted.names.dns.DNSDatagramProtocol object at 0x7f6a038d6cf8>
  29.8 >>> | Setup complete. Launching your command.
  29.8 TEL | Everything launched. Waiting to exit...
  29.8 TEL | BEGIN SPAN runner.py:726(wait_for_exit)
  31.2 TEL | [68] Running: sudo -n echo -n
  31.2  57 | c : DNS request from ('10.40.42.169', 55920) to None: 44 bytes
  31.2  57 | c : DNS request from ('10.40.42.169', 61003) to None: 44 bytes
  31.2 TEL | [68] ran in 0.04 secs.
  31.4  47 | 2020-05-25T08:10:13+0000 [stdout#info] A query: b'xlmacclient.rcv.sandai.net'
  31.4  47 | 2020-05-25T08:10:13+0000 [stdout#info] AAAA query, sending back A instead: b'xlmacclient.rcv.sandai.net'
  31.4  47 | 2020-05-25T08:10:13+0000 [stdout#info] A query: b'xlmacclient.rcv.sandai.net'
  31.4  47 | 2020-05-25T08:10:13+0000 [stdout#info] Result for b'xlmacclient.rcv.sandai.net' is ['180.163.203.56']
  31.4  47 | 2020-05-25T08:10:13+0000 [stdout#info] Result for b'xlmacclient.rcv.sandai.net' is ['180.163.203.56']
  32.4  57 | c : DNS request from ('10.40.42.169', 61717) to None: 23 bytes
  32.6  47 | 2020-05-25T08:10:14+0000 [stdout#info] 6 query: b'local'
  32.6  47 | 2020-05-25T08:10:14+0000 [DNSDatagramProtocol (UDP)] DNSDatagramProtocol starting on 20545
  32.6  47 | 2020-05-25T08:10:14+0000 [DNSDatagramProtocol (UDP)] Starting protocol <twisted.names.dns.DNSDatagramProtocol object at 0x7f6a038d6ef0>
  32.6  47 | 2020-05-25T08:10:14+0000 [-] (UDP Port 20545 Closed)
  32.6  47 | 2020-05-25T08:10:14+0000 [-] Stopping protocol <twisted.names.dns.DNSDatagramProtocol object at 0x7f6a038d6ef0>
  51.7 TEL | (proxy checking local liveness)
  51.9  47 | 2020-05-25T08:10:34+0000 [Poll#info] Checkpoint
  61.3 TEL | [69] Running: sudo -n echo -n
  61.3 TEL | [69] ran in 0.03 secs.
  71.8  57 | c : DNS request from ('10.40.42.169', 59286) to None: 44 bytes
  72.0  47 | 2020-05-25T08:10:54+0000 [stdout#info] A query: b'xlmacclient.rcv.sandai.net'
  72.0  47 | 2020-05-25T08:10:54+0000 [stdout#info] Result for b'xlmacclient.rcv.sandai.net' is ['180.163.203.56']
  78.5 TEL | Main process (bash --norc)
  78.5 TEL |  exited with code 55.
  78.6 TEL | END SPAN runner.py:726(wait_for_exit)   48.7s
  78.6 >>> | Your process exited with return code 55.
  78.6 TEL | EXITING successful session.
  78.6 >>> | Exit cleanup in progress
  78.6 TEL | (Cleanup) Terminate local process
  78.6 TEL | Local process is already dead (ret=55)
  78.6 TEL | (Cleanup) Kill BG process [57] sshuttle
  78.6  57 | >> pfctl -a sshuttle6-12300 -F all
  78.6 TEL | (Cleanup) Unmount remote filesystem
  78.6 TEL | [70] Running: umount -f /tmp/tel-tkcbv35t/fs
  78.6  57 | >> pfctl -X 9490036655373038711
  78.6  57 | >> pfctl -a sshuttle-12300 -F all
  78.6  57 | >> pfctl -X 9490036655310650135
  78.6 TEL | [70] ran in 0.04 secs.
  78.6 TEL | (Cleanup) Kill BG process [52] SSH port forward (socks and proxy poll)
  78.6 TEL | [52] SSH port forward (socks and proxy poll): exit 0
  78.6 TEL | (Cleanup) Kill Web server for proxy poll
  78.6 TEL | [57] sshuttle: exit -15
  78.8 TEL | (Cleanup) Kill BG process [48] kubectl port-forward
  78.8 TEL | [48] kubectl port-forward: exit -15
  78.8 TEL | (Cleanup) Kill BG process [47] kubectl logs
  78.8 TEL | [47] kubectl logs: exit -15
  78.8 TEL | Background process (kubectl logs) exited with return code -15. Command was:
  78.8 TEL |   kubectl --context zhongtai-k8s --namespace default logs -f telepresence-1590394182-539615-13442-7f7794b5c9-s2qlq --container telepresence-1590394182-539615-13442 --tail=10
  78.8 TEL | 
  78.8 TEL | Recent output was:
  78.8 TEL |   2020-05-25T08:10:13+0000 [stdout#info] Result for b'xlmacclient.rcv.sandai.net' is ['180.163.203.56']
  78.8 TEL |   2020-05-25T08:10:13+0000 [stdout#info] Result for b'xlmacclient.rcv.sandai.net' is ['180.163.203.56']
  78.8 TEL |   2020-05-25T08:10:14+0000 [stdout#info] 6 query: b'local'
  78.8 TEL |   2020-05-25T08:10:14+0000 [DNSDatagramProtocol (UDP)] DNSDatagramProtocol starting on 20545
  78.8 TEL |   2020-05-25T08:10:14+0000 [DNSDatagramProtocol (UDP)] Starting protocol <twisted.names.dns.DNSDatagramProtocol object at 0x7f6a038d6ef0>
  78.8 TEL |   2020-05-25T08:10:14+0000 [-] (UDP Port 20545 Closed)
  78.8 TEL |   2020-05-25T08:10:14+0000 [-] Stopping protocol <twisted.names.dns.DNSDatagramProtocol object at 0x7f6a038d6ef0>
  78.8 TEL |   2020-05-25T08:10:34+0000 [Poll#info] Checkpoint
  78.8 TEL |   2020-05-25T08:10:54+0000 [stdout#info] A query: b'xlmacclient.rcv.sandai.net'
  78.8 TEL |   2020-05-25T08:10:54+0000 [stdout#info] Result for b'xlmacclient.rcv.sandai.net' is ['180.163.203.56']
  78.8 TEL | (Cleanup) Delete new deployment
  78.8 >>> | Cleaning up Deployment telepresence-1590394182-539615-13442
  78.8 TEL | [71] Running: kubectl --context zhongtai-k8s --namespace default delete --ignore-not-found svc,deploy --selector=telepresence=fb175b96372a4e9aa4c2a77c7fab4683
  79.1  71 | deployment.extensions "telepresence-1590394182-539615-13442" deleted
  79.1 TEL | [71] ran in 0.32 secs.
  79.1 TEL | (Cleanup) Kill sudo privileges holder
  79.1 TEL | (Cleanup) Stop time tracking
  79.1 TEL | END SPAN main.py:40(main)   79.1s
  79.1 TEL | SPAN SUMMARY:
  79.1 TEL |   79.1s main.py:40(main)
  79.1 TEL |    1.0s   startup.py:83(set_kube_command)
  79.1 TEL |    0.1s     1 kubectl config current-context
  79.1 TEL |    0.3s     2 kubectl --context zhongtai-k8s version --short
  79.1 TEL |    0.1s     3 kubectl --context zhongtai-k8s config view -o json
  79.1 TEL |    0.3s     4 kubectl --context zhongtai-k8s get ns default
  79.1 TEL |    0.3s     5 kubectl --context zhongtai-k8s api-versions
  79.1 TEL |    0.0s   6 ssh -V
  79.1 TEL |    0.0s   7 sudo -n echo -n
  79.1 TEL |    0.3s   8 kubectl --context zhongtai-k8s --namespace default get pods telepresence-conne
  79.1 TEL |    0.8s   deployment.py:182(create_new_deployment)
  79.1 TEL |    0.3s     9 kubectl --context zhongtai-k8s --namespace default delete --ignore-not-found s
  79.1 TEL |    0.5s     10 kubectl --context zhongtai-k8s --namespace default create -f -
  79.1 TEL |   18.6s   remote.py:142(get_remote_info)
  79.1 TEL |    0.3s     remote.py:75(get_deployment_json)
  79.1 TEL |    0.3s       11 kubectl --context zhongtai-k8s --namespace default get deployment -o json --s
  79.1 TEL |    0.3s     12 kubectl --context zhongtai-k8s --namespace default get pod -o json --selector
  79.1 TEL |   17.9s     remote.py:104(wait_for_pod)
  79.1 TEL |    0.3s       13 kubectl --context zhongtai-k8s --namespace default get pod telepresence-15903
  79.1 TEL |    0.4s       14 kubectl --context zhongtai-k8s --namespace default get pod telepresence-15903
  79.1 TEL |    0.3s       15 kubectl --context zhongtai-k8s --namespace default get pod telepresence-15903
  79.1 TEL |    0.3s       16 kubectl --context zhongtai-k8s --namespace default get pod telepresence-15903
  79.1 TEL |    0.3s       17 kubectl --context zhongtai-k8s --namespace default get pod telepresence-15903
  79.1 TEL |    0.3s       18 kubectl --context zhongtai-k8s --namespace default get pod telepresence-15903
  79.1 TEL |    0.3s       19 kubectl --context zhongtai-k8s --namespace default get pod telepresence-15903
  79.1 TEL |    0.3s       20 kubectl --context zhongtai-k8s --namespace default get pod telepresence-15903
  79.1 TEL |    0.3s       21 kubectl --context zhongtai-k8s --namespace default get pod telepresence-15903
  79.1 TEL |    0.3s       22 kubectl --context zhongtai-k8s --namespace default get pod telepresence-15903
  79.1 TEL |    0.3s       23 kubectl --context zhongtai-k8s --namespace default get pod telepresence-15903
  79.1 TEL |    0.3s       24 kubectl --context zhongtai-k8s --namespace default get pod telepresence-15903
  79.1 TEL |    0.3s       25 kubectl --context zhongtai-k8s --namespace default get pod telepresence-15903
  79.1 TEL |    0.3s       26 kubectl --context zhongtai-k8s --namespace default get pod telepresence-15903
  79.1 TEL |    0.3s       27 kubectl --context zhongtai-k8s --namespace default get pod telepresence-15903
  79.1 TEL |    0.3s       28 kubectl --context zhongtai-k8s --namespace default get pod telepresence-15903
  79.1 TEL |    0.3s       29 kubectl --context zhongtai-k8s --namespace default get pod telepresence-15903
  79.1 TEL |    0.3s       30 kubectl --context zhongtai-k8s --namespace default get pod telepresence-15903
  79.1 TEL |    0.3s       31 kubectl --context zhongtai-k8s --namespace default get pod telepresence-15903
  79.1 TEL |    0.3s       32 kubectl --context zhongtai-k8s --namespace default get pod telepresence-15903
  79.1 TEL |    0.3s       33 kubectl --context zhongtai-k8s --namespace default get pod telepresence-15903
  79.1 TEL |    0.3s       34 kubectl --context zhongtai-k8s --namespace default get pod telepresence-15903
  79.1 TEL |    0.3s       35 kubectl --context zhongtai-k8s --namespace default get pod telepresence-15903
  79.1 TEL |    0.3s       36 kubectl --context zhongtai-k8s --namespace default get pod telepresence-15903
  79.1 TEL |    0.3s       37 kubectl --context zhongtai-k8s --namespace default get pod telepresence-15903
  79.1 TEL |    0.4s       38 kubectl --context zhongtai-k8s --namespace default get pod telepresence-15903
  79.1 TEL |    0.3s       39 kubectl --context zhongtai-k8s --namespace default get pod telepresence-15903
  79.1 TEL |    0.3s       40 kubectl --context zhongtai-k8s --namespace default get pod telepresence-15903
  79.1 TEL |    0.3s       41 kubectl --context zhongtai-k8s --namespace default get pod telepresence-15903
  79.1 TEL |    0.3s       42 kubectl --context zhongtai-k8s --namespace default get pod telepresence-15903
  79.1 TEL |    0.3s       43 kubectl --context zhongtai-k8s --namespace default get pod telepresence-15903
  79.1 TEL |    0.3s       44 kubectl --context zhongtai-k8s --namespace default get pod telepresence-15903
  79.1 TEL |    0.3s       45 kubectl --context zhongtai-k8s --namespace default get pod telepresence-15903
  79.1 TEL |    0.4s       46 kubectl --context zhongtai-k8s --namespace default get pod telepresence-15903
  79.1 TEL |    0.9s   connect.py:37(connect)
  79.1 TEL |    0.0s     49 ssh -F /dev/null -oStrictHostKeyChecking=no -oUserKnownHostsFile=/dev/null -q
  79.1 TEL |    0.0s     50 ssh -F /dev/null -oStrictHostKeyChecking=no -oUserKnownHostsFile=/dev/null -q
  79.1 TEL |    0.3s     51 ssh -F /dev/null -oStrictHostKeyChecking=no -oUserKnownHostsFile=/dev/null -q
  79.1 TEL |    0.5s   remote_env.py:29(get_remote_env)
  79.1 TEL |    0.5s     53 kubectl --context zhongtai-k8s --namespace default exec telepresence-15903941
  79.1 TEL |    0.2s   mount.py:30(mount_remote_volumes)
  79.1 TEL |    0.2s     54 sshfs -p 55423 -F /dev/null -oStrictHostKeyChecking=no -oUserKnownHostsFile=/
  79.1 TEL |    3.9s   vpn.py:280(connect_sshuttle)
  79.1 TEL |    0.7s     vpn.py:77(get_proxy_cidrs)
  79.1 TEL |    0.4s       55 kubectl --context zhongtai-k8s --namespace default get nodes -o json
  79.1 TEL |    0.3s       56 kubectl --context zhongtai-k8s --namespace default get services -o json
  79.1 TEL |    3.2s     vpn.py:303(connect_sshuttle,sshuttle-wait)
  79.1 TEL |    1.1s       58 python3 -c 'import socket; socket.gethostbyname("hellotelepresence-0")'
  79.1 TEL |    0.1s       59 python3 -c 'import socket; socket.gethostbyname("hellotelepresence-0.a.sanity
  79.1 TEL |    1.1s       60 python3 -c 'import socket; socket.gethostbyname("hellotelepresence-1")'
  79.1 TEL |    0.1s       61 python3 -c 'import socket; socket.gethostbyname("hellotelepresence-1.a.sanity
  79.1 TEL |    0.1s       62 python3 -c 'import socket; socket.gethostbyname("hellotelepresence-2")'
  79.1 TEL |    0.1s       63 python3 -c 'import socket; socket.gethostbyname("hellotelepresence-2.a.sanity
  79.1 TEL |    0.1s       64 python3 -c 'import socket; socket.gethostbyname("hellotelepresence-3")'
  79.1 TEL |    0.1s       65 python3 -c 'import socket; socket.gethostbyname("hellotelepresence-3.a.sanity
  79.1 TEL |    0.1s       66 python3 -c 'import socket; socket.gethostbyname("hellotelepresence-4")'
  79.1 TEL |    0.1s   67 sudo -n /usr/bin/pkill -HUP mDNSResponder
  79.1 TEL |   48.7s   runner.py:726(wait_for_exit)
  79.1 TEL |    0.0s     68 sudo -n echo -n
  79.1 TEL |    0.0s     69 sudo -n echo -n
  79.1 TEL |    0.0s   70 umount -f /tmp/tel-tkcbv35t/fs
  79.1 TEL |    0.3s   71 kubectl --context zhongtai-k8s --namespace default delete --ignore-not-found
  79.1 TEL | (Cleanup) Remove temporary directory
  79.3 TEL | (Cleanup) Save caches
  79.4 TEL | (sudo privileges holder thread exiting)
